id,阿拉伯语
ID,Desc
1,الوضع الحالي لا يسمح بالنوم
2,"لا يمكنك النوم هنا , تحتاج الي سرير"
3,لا يمكنك النوم خلال النهار
4,بعيد جداً عن السرير
5,الجو حار جدًا لاستخدام الدلو
6,السرير غير موجود في فلاماس
7,الذخيرة غير كافية
8,"جاري تحميل ̸ تنزيل الخريطة, الرجاء المحاولة مره اخرى لاحقا"
9,"جاري تحميل الخريطة, الرجاء المحاولة مرة أخرى لاحقا"
10,وصل عدد المخزون الى أقصاه، يرجى مسح الخرائط غير الضرورية
11,"تم مشاركة الخريطة بنجاح, قم بإبلاغ زملائك بسرعة للتحميل"
12,"خطأ في الاتصال بالانترنت, توقفت المشاركة بشكل مؤقت, قم بإعادة الاتصال بالانترنت ثم المحاولة مرة أخرى"
13,رجاءً، إختر الخريطة أوّلاً
14,"طلبك قيد المعالجة الآن,لا يمكن الدخول إلا بعد الانتهاء من تحميل الخريطة."
15,"لم يتم تحميل الخريطة بشكل كامل بعد, لا يمكنك الدخول الآن"
16,هل ترغب في مسح الملف الذي تقوم بتحميله الآن؟
17,هل أنت متأكد من حذف هذه الخريطة نهائيًا؟ cef2d2d#(سيتم أيضًا حذف النسخة الاحتياطية للخريطة ولا يمكنك التراجع عن هذا الإجراء) n#
18,"انقطع اتصال بالانترنت, من فضلك قم بمشاركة الخريطة باستخدام ال WIFI"
19,"انقطع اتصال بالانترنت, من فضلك قم بتحميل الخريطة باستخدام WIFI"
20,"انقطع اتصال بالانترنت, من فضلك قم بتحديث الخريطة باستخدام ال WIFI"
21,"تقوم باستخدام باقة الانترنت الخاصة بالهاتف الآن, سوف تقوم اللعبة والدردشة الصوتية باستهلاكها, هل ترغب بالاستمرار ؟"
22,"شبكة الانترنت غير مستقرة, تم إيقاف التحميل, من فضلك قم بالاتصال وحاول مرة أخرى"
23,يبدو أنّه لا يوجد المزيد من الخرائط. تعال وشارك خرائطك.
24,لا يوجد المزيد من الخرائط المتابعة
25,لقد وصل عدد المتابعات إلى أقصاه، من فضلك قم بمسح جزء من الخرائط التي قمت بمتابعتها لتتمكن من متابعة خرائط جديدة
26,"تم إضافة الخريطة بنجاح, يمكن عرضها في (متابعاتي)"
27,هل ترغب في إلغاء المتابعة ؟
28,"لقد وصل عدد الملفات التي تم تحميلها الى أقصاه, من فضلك قم بمسح بعض الخرائط المحفوظة لتتمكن من إضافة غيرها"
29,"فشل في تحميل الخريطة, من فضلك قم بالتأكد من اتصالك بالانترنت وحاول مره أخرى"
30,"لقد قمت بتقييم هذه الخريطة اليوم, يمكنك التقييم مرة واحدة فقط في اليوم"
31,"لقد قمت باستهلاك جميع (إعجاباتك) اليوم, من فضلك حاول مرة أخرى غداً."
32,الخريطة المحددة :إنشاء خريطة بمساحة ثابتة بتضاريس عشوائية تناسب المعدات التقليدية
33,الخريطة الكبيرة: إنشاء خريطة بمساحة وتضاريس غير محدودة تناسب المعدات المتقدمة
34,خريطة التضاريس المسطحة: إنشاء خريطة بتضاريس مسطحة تناسب بناء المباني
35,إختر العنصر لتصنع الحرفة التي تريدها.
36,هل أنت متاكد من مسح هذا الصديق ؟
37,"الاتصال بالانترنت ضعيف,  حاول مرة أخرى بعد قليل"
38,صديقك أصلا
39,لقد وصل عدد الأصدقاء الى أقصاه
40,لا يمكن إضافة نفسك كصديق
41,"فشل في إضافة الصديق, حاول مرة اخرى لاحقا"
42,تم مسح الصديق بنجاح
43,"لا يمكن تحميل ملفات الخرائط من داخل اللعبة, حاول مرة أخرى من القائمة الرئيسية"
44,"لم يتم العثور علي أصدقاء بالجوار, من فضلك حاول البحث مرة أخرى بعد قليل"
45,إدخال الإسم(يمكن استخدام الأرقام أو الأحرف أو الرموز)
46,قد تمّ استخدام هذا الإسم (اضغط علي النص للإدخال)
47,الاعدادات المتقدمة
48,الاعدادات المتوسطة
49,الاعدادات الابتدائية
50,الشخص الثالث
51,منظر خلفي
52,الشخص الأول
53,الرؤية
54,الرؤية
55,الرؤية
56,المخزون ممتلئ
57,نقاط التكليف:
58,لا يوجد
59,مغامرات
60,إبداعات
61,يحتاج 1@
62,تم الانشاء @1×@2
63,مسح الصديق
64,لقد أصبح @1 صديقك
65,غادر من قائمة السحر
66,تحتاج الى المزيد من النجوم لتفعيل السحر
67,لا يتمتع بقدرات سحرية بعد
68,ملكيّة عشوائيّة
69,وقعت هذه القطعة تحت مفعول السحر
70,سوف تختفي القطع المساعدة بعد الصهر
71,من فضلك قم بوضعها في القطع المساعدة
72,من فضلك قم باختيار القطع التي تريد سحرها
73,النجوم
74,عملات صغيرة
75,القطع التي يمكن سحرها
76,القطع الاساسية المتوفّرة
77,القطع المساعدة المتوفّرة
78,لا يوجد ملكيّات مناسبة
79,تمّ سحر @1 بنجاح
80,من فضلك قم بوضع القطع التي ترغب بسحرها
81,تم نقلها من قائمة السحر ووضعها في حقيبة الظهر
82,قم بتجميع الموارد وبناء الأدوات والملاجئ واستكشاف العالم
83,بحوزتك جميع الموارد الغير محدودة التي تمكنك من بناء أي شيء تفكر به
84,إنشاء ملف جديد \n فلتبدأ بالمغامرة
85,"لا يوجد لديك ملفات ,#cfa7a0fقم بإنشاء#n ملف بسرعة"
86,العديد من الخرائط التي يمكن #cfa7a0fتحميلها ! #n
87,"أنت جديد على اللعبة؟ ننصح باتباع التدريب المخصص باللاعبين الجدد, للتعرف علي أساسيات اللعبة"
88,اختر الشخصية التي تريدها \n
89,من فضلك قم باختيار الشخصية
90,"لم يتنهي التدريب الخاص باللاعبين الجدد بعد, هل ترغب بالاستمرار؟"
91,"اذا كانت هذه أول مرة لك لدخول لعبة العالم المصغر, ننصح باختيار #c0aaa1a خريطة التدريبn#"
92,خريطة تدريب اللاعبين الجدد
93,تم الوصول الى: العالم السفلي
94,تم الوصول الى: العالم العلوي
95,لقد تمت هزيمتك أثناء القتال مع الآخر @other
96,يرجى منك @self الانتباه إلى استهلاك الاوكسيجين
97,@ نفسه الابتعاد عن الأجسام ذات درجة الحرارة المرتفعة
98,مكانة عالية مليئة بالمخاطر! احذر!
99,تحتاج الى بدلة الفضاء
100,احترس من الصبار!
101,الحظ يحالفك! اذهب واشتر بطاقة ياناصيب اليوم.
102,لقد أصبت بالتسمم. عالج التسمم بشرب الحليب الطازج
103,لقد ذبل @self مثل الزهرة.
104,أنت في وضع (الركض) الآن
105,أنت في وضع (التسلل) الآن
106,تعال الى غرفتي للمغامرة! نحن بانتظارك
107,غرفة المغامرات هذه ممتعة جدا! لا استطيع التوقف عن اللعب
108,من يرغب بزيارتي في غرفتي للمغامرة؟
109,لنصبح أصدقاء! ولتأتِ إلى غرفتي الأن!
110,من يمكنه مساعدتي في التنقيب عن بعض المعادن؟ فليأتِ إلي غرفة المغامرة الخاصّة بي الآن!
111,تعال إلى غرفة الإبتكار الخاصّة بي! ستجد الكثير من المتعة
112,تعال إلى غرفة الإبتكار الخاصّة بي! لنحتفل!
113,بذلت جهودا كبيرة لبناء غرفة الابتكار الخاصّة بي. مرحّب بكم جميعًا!
114,غرفتي للابتكار بانتظاركم.
115,"تحتوي غرفتي للابتكار على منزل كبير, تعال وألقي نظرة!"
116,"القمر مكتمل, يا لها من ليلة مميزة بالفعل...."
117,"توارى القمر, إنها ليلة مميزة.."
118,"يوجد العديد من الأشياء الجديدة هنا, ماذا تحتاج؟ أو ربما يمكنك الذهاب والبحث عن إخوتي في الصحراء أو حقل الجليد."
119,"لقد كبرت وترعرعت في الصحراء, أريد تحويل مسقط رأسي الى واحة!"
120,"الجو بارد في حقل الجليد. أحتاج الى الكثير من الموارد, هل يمكنك امدادي بها؟"
121,"الكلمات غير صحيحة, من فضلك قم بالادخال مرة أخرى"
122,"هذا صندوق المدخرات الخاص بصاحب المنزل , لا يمكنك فتحه"
123,قم بادخال الاسم الجديد
124,تحتاج الي نفقات
125,لا يمكن تعديل الاسم من داخل الملف المحفوظ
126,تهانينا! تم تعديل الاسم بنجاح ليصبح ....
127,فشل تعديل الاسم، من فضلك قم بالتأكد من الاتصال بالانترنت وحاول مرة أخرى
128,يتمّ تخزين العناصر التي تمّ شراؤها في الحزمة
129,يمكنك النقر على المعدات داخل الملف لنقلها الى الحقيبة
130,لا يمكن استخدان هذا العنصر إلا من قبل المضيف
131,"تم الشراء بنجاح, قم بالتأكد من خلال المخزن الموجود باسفل اليسار"
132,"تم النقل بنجاح, من فضلك قم بالنظر داخل الحقيبة للتأكد"
133,مجموع أقوى مغامرة:
134,تمّ طردك من الغرفة!
135,فشل الاتصال. قام المضيف بإغلاق غرفة متعددة اللاعبين
136,تم اغلاق الغرفة
137,لا يمكن الدخول، فشل في تحميل الخريطة أو الخريطة تالفة (ننصح بالدعم بنسخة احتياطية قبل المشاركة)
138,درجة النشاط:
139,فتح الانجازات:
140,المعلومات
141,أفاتار
142,الاستخدام
143,فتح
144,قم بإدخال المعرف الفريد للمؤلف
145,المعرف الفريد
146,"الاتصال بالانترنت ضعيف, من فضلك قم بالمحاولة لاحقا"
147,اختر الفئة
148,تقليدي/عادي
149,جيد
150,ممتاز
151,أصحاب الغرف الذين تقوم بمتابعتهم جميعهم في إجازة الآن ...
152,عذرا ، يرجى تحديث قائمة الخريطة وحاول مرة أخرى.
153,الاسم
154,اللاعب
155,النوع
156,التعريف
157,التحديث الآن
158,"نسخة اللعبة قديمة جدا, من فضلك قم بالتحديث"
159,لا يمكنك تحميل أو استرجاء هذه الخريطة كونها لم تتم مشاركتها
160,"تحتاج الى تحميل هذا الملف من جديد,هل ترغب في بدء التحميل؟"
161,"الاتصال بالانترنت غير مستقر, تم وقف التحميل, من فضلك قم بالتأكد من الاتصال بالانترنت وحاول مرة أخرى"
