id,马来语
ID,Desc
1,Tidak boleh tidur sekarang
2,"Tidak boleh tidur di sini, anda perlu katil"
3,Tidak boleh tidur pada waktu siang
4,Terlalu jauh dari katil
5,Terlalu panas untuk guna baldi
6,Flame Star tidak dapat menempatkan tempat tidur
7,Peluru tidak mencukupi
8,Peta sedang muat naik/muat turun. Cuba lagi nanti.
9,"Peta sedang dimuat turun, sila cuba lagi nanti"
10,"Peta yang dapat disimpan terbatas, silakan padamkan peta yang tidak diperlukan"
11,"Peta telah berjaya dikongsi, ajak rakan untuk memuat turun"
12,Rangkaian terganggu. Fungsi berkongsi dihentikan. Sila sambung semula dan cuba lagi
13,Pilih peta
14,Permintaan anda sedang diproses. Anda tidak dapat masuk ke peta sebelum muat naik selesai
15,"Anda tak bioleh masuk sekarang, peta belum selesai dimuat turun"
16,Adakah anda pasti menghapuskan peta yang sedang dimuat turun?
17,"Adakah anda pasti mahu memadamkan peta secara kekal?
#cef2d2d (backup peta akan turut dipadamkan)
(Tidak boleh dipulihkan selepas dipadam)#n"
18,Rangkaian terputus. Hubungkan WiFi untuk kongsi peta.
19,Rangkaian terputus. Hubungkan WiFi untuk memuat turun peta.
20,Rangkaian terputus. Hubungkan WiFi untuk kemaskan kini peta terbaru.
21,Peringatan : Anda sedang menggunakan kuota untuk bermain. Adakah anda mahu meneruskan? (Kami mencadangkan anda bermain dengan jaringan WIFI)
22,Muat turun gagal kerana rangkaian tidak stabil. Kesalahan. Sila sambung semula dan cuba lagi
23,Tidak ada peta lagi. Kongsilah peta anda dulu!
24,Tak ada peta lain yang diikuti
25,"Jumlah quota mengikuti telah penuh, silakan hapus beberapa peta terlebih dahulu"
26,Peta telah berjaya ditambahkan. Lihat peta di halaman ikuti
27,Sama anda pasti berhenti mengesan?
28,Jumlah muat turun penuh. Silakan hapus beberapa.
29,Kegagalan muat turun. Periksa kembali jaringan internet dan cuba lagi
30,Anda telah mencapai had batas penilaian peta ini hari ini. Anda boleh menilai sekali dalam sehari
31,Jumlah suka yang anda dapat berikan hari ini sudah habis. Datang lagi esok.
32,Peta terbatas : Buat peta secara acak dengan ukuran yang tetap. Sesuai untuk jenis perangkat biasa.
33,Peta paling besar : Buat peta bersaiz tidak terhad. Sesuai untuk jenis peranti yang tinggi.
34,Peta datar : Buat peta dengan bentuk datar. Sesuai untuk mebuat bangunan.
35,Pilih alat untuk dibuat
36,Adakah anda ingin memadamkan rakan ini?
37,"Rangkaian kurang stabil, silakan cuba lagi nanti"
38,Sudah berkawan
39,Maksimum bilangan rakan tercapai
40,Dilarang menambahkan diri anda sebagai rakan
41,Penambahan rakan gagal. Silakan cuba lagi nanti
42,Rakan berjaya dipadamkan
43,Anda tidak boleh muat turun peta disini. Silakan balik ke halaman utama permainan untuk muat turun.
44,Tidak ada rakan di sekitar. Cuba lagi nanti.
45,Pakai huruf/angka sebagai nama Watak
46,Nama ini sudah ada (klik untuk edit)
47,Kelas tinggi
48,Kelas sederhana
49,Kelas rendah
50,Orang ketiga
51,Pandangan Depan
52,Pandangan Utama
53,Medan pandangan (jauh)
54,Medan pandangan (tengah)
55,Medan pandangan (dekat)
56,Kotak simpanan penuh
57,Perkara tugas:
58,Kosong
59,Pengembaraan
60,Penciptaan
61,Perlukan@1
62,Pembuatan@1x@2
63,Padamkan rakan
64,@1menjadi rakan anda
65,Keluar dari halaman hias
66,Perlu lebih banyak bintang untuk menghiasi
67,Belum ada properti yang tersedia
68,Properti rawak
69,Alat ini sudah dihiasi
70,Sub-alat akan hilang setelah digabungkan
71,Sila masukkan sub-alat
72,Silakan pilih alat penghias
73,Bintang
74,Koin mini
75,Alat yang dapat dihiasi :
76,Alat utama yang tersedia
77,Sub-alat yang tersedia
78,Tidak ada properti yang sesuai
79,@1telah berhaya dihiasi
80,Simpan item yang ingin dihias
81,Item yang dihias telah disimpan ke dalam beg galas
82,Marilah hidup di alam bebas! Kumpulkan alat dan bahan. Jelajahi dunia!
83,Miliki sumber daya alam yang tak terbatas dan guna kesemuanya untuk membuat barang yang sesuai imajinasi anda
84,Mencipta arkib peta baru\n. Mulakan pengembaraan!
85,Anda belum membuat peta apapun. Cepatlah ke#cfa7a0fbuat peta\n sekarang!
86,Lebih banyak peta untuk #cfa7a0f dimuat turun ! #n
87,Anda baru disini? Lihat dulu tutorial pemula dan belajar cara bermain permainan ini!
88,Pilih watak\n mencipta watak baru
89,Pilih watak
90,"Tutorial belum selesai, meneruskan?"
91,Kami mencadangkan anda untuk mempelajari cara bermain di #c0aaa1a peta bimbingan yang disediakan#n
92,Tutorial
93,Mendarat di : dunia bawah
94,Mendarat di : dunia atas
95,Anda kalah dalam pertarungan dengan@lain
96,@sendiri memperhatikan penggunaan oksigen apabila berenang
97,@self Berhati-hati menjauhi objek panas!
98,"Terdapat banyak bahaya di tempat tinggi, jadi perhatikan keselamatan setiap saat!"
99,Anda perlu baju penerbangan
100,Awas ada kaktus!
101,Sangat bertuah! Nasib baik anda mesti memberi loteri hari ini.
102,Minum susu segar jika anda keracunan!
103,@sendiri layu seperti bunga
104,Memasuki mod berlari
105,Memasuki mod menyelinap
