id,法语
ID,Desc
1,Vous ne pouvez pas dormir à l’état actuel
2,"Ne dormez pas ici, il vous faut un lit."
3,Ne peut pas dormir pendant la journée
4,Trop loin du lit
5,Trop chaud pour utiliser le sceau
6,Le lit est indisponible dans les Flamas
7,Munitions insuffisantes
8,Transfert/téléchargement de la carte. Réessayez plus tard
9,Téléchargement de la carte. Réessayez plus tard
10,Nom. maximal d’enregistrements atteint. Veuillez supprimer les cartes enregistrées inutiles
11,Carte bien partagée. Dites à vos amis de télécharger
12,Connexion réseau interrompue. Partage suspendu. Veuillez vous reconnecter au réseau et réessayer
13,Sélectionnez une carte à entrer
14,Partage en cours. Vous ne pouvez entrer dans une carte qu’après son transfert
15,La carte n’a pas encore été téléchargée. Vous ne pouvez pas y entrer
16,Supprimer le téléchargement des archives ?
17,Êtes-vous sûr de vouloir supprimer définitivement cette carte?#cef2d2d(La sauvegarde de la carte sera également supprimé et vous ne pouvez pas annuler cette action)#n
18,Non connecté au réseau. Veuillez partager la carte en Wi-Fi
19,Non connecté au réseau. Veuillez partager la carte en Wi-Fi
20,Non connecté au réseau. Veuillez partager la carte en Wi-Fi
21,Vous êtes connecté à un réseau mobile et des données seront consommées. Continuer ? (Il est recommandé d’utiliser un réseau Wi-Fi)
22,Le téléchargement a été interrompu à cause d’un réseau instable. Veuillez vous reconnecter à un réseau Wi-Fi et réessayer
23,Plus aucune carte actuellement. Partagez vos cartes
24,Plus aucune carte suivie
25,Mes abonnements sont remplis. Veuillez supprimer quelques cartes suivies
26,Carte bien ajoutée. Affichez-la dans mes abonnements
27,Se désabonner ?
28,Nom. max de téléchargements atteint. Veuillez supprimer les cartes enregistrées inutiles
29,Échec de téléchargement de la carte. Veuillez vérifier la connexion réseau et réessayer
30,Vous avez noté cette carte aujourd’hui. Une fois par jour seulement
31,Vos j’aime sont épuisés. Veuillez réessayer demain
32,Description des carte limitées : créez une carte de terrain aléatoire de taille fixe qui convient au appareils ordinaires
33,Description des cartes ultra-larges : créez une carte de terrain de taille infinie qui convient aux appareils haute performance.
34,Description des cartes à topographie plate : créez une carte à topographie plate qui convient à la construction
35,Sélectionnez les objets à créer !
36,Voulez-vous vraiment supprimer l’ami ?
37,Connexion réseau instable. Veuillez réessayer plus tard
38,Cette personne est maintenant votre ami
39,Nbre max d’amis atteint
40,Vous ne vous pouvez vous ajouter comme ami
41,Échec d’ajout de l’ami. Veuillez réessayer plus tard
42,L’ami a bien été supprimé
43,Vous ne pouvez pas télécharger une carte archivée dans le jeu. Veuillez réessayer dans l’interface principale
44,Amis introuvables à proximité. Veuillez réessayer plus tard
45,"Entrez le nom du rôle (chiffres, lettres ou caractères autorisés)"
46,Le nom du rôle existe déjà (Touchez le texte pour entrer)
47,Paramètres avancés
48,Paramètres intermédiaires
49,Paramètres de base
50,Vue arrière
