id,越南语
ID,Desc
1,Không thể ngủ trong trạng thái hiện tại
2,"Không thể ngủ ở đây, bạn cần giường"
3,Không thể ngủ khi ban ngày
4,Cách giường quá xa
5,"Ở đây quá nóng, không thể dùng thùng nước"
6,Không thể đặt giường ở dưới Flamas
7,Không đủ đạn dược
8,Đang tải lên/tải về Map. Vui lòng thử lại sau nhé!
9,"Đang tải xuống, hãy đợi giây lát"
10,"Quá tải dung lượng, hãy xóa bớt map không cần thiết"
11,"Chia sẻ map thành công, mau rủ bạn bè tải về"
12,"Mất kết nối mạng, dừng chia sẻ, hãy kết nối rồi thử lại"
13,Hãy chọn map bạn muốn chơi!
14,"Đang chia sẻ, tải map lên xong mới được vào"
15,"map này chưa tải xong, không thể vào"
16,Có muốn xóa dữ liệu đang tải về không
17,"Xác nhận muốn xóa vĩnh viễn map này không? 
 #cef2d2d(Sao lưu của map này cũng bị xóa)
 (Xóa xong không thể khôi phục)#n"
18,"Không có kết nối mạng, hãy chia sẻ map bằng WIFI"
19,"Không có kết nối mạng, hãy tải map bằng WIFI"
20,"Không có kết nối mạng, hãy cập nhật map bằng WIFI"
21,Chơi trò chơi hoặc sử dụng tính năng thoại sẽ cần phải sử dụng dữ liệu di động. Bạn có muốn tiếp tục không?
22,"Mạng không ổn định, tải bị gián đoạn, hãy kết nối lại WIFI rồi thử lại"
23,"Tạm không có map mới, mau chia sẻ map của bạn nào"
24,Không có map theo dõi mới
25,"Theo dõi đã đầy danh sách, hãy xóa bớt"
26,"Thêm map thành công, hãy đến (Theo Dõi) xem"
27,Có bỏ theo dõi không?
28,"Số dữ liệu tải về đã đầy, hãy xóa map dữ liệu không cần thiết"
29,Tải map thất bại. Vui lòng kiểm tra kết nối mạng và thử lại.
30,Hôm nay đã đánh giá map này rồi. Bạn có thể đánh giá 1 lần/ngày
31,"Hôm nay đã like đạt giới hạn, mai hãy thử lại"
32,"Giới thiệu map giới hạn: Tạo map địa hình ngẫu nhiên với kích thước cố định, thích hợp thiết bị tính năng thường"
33,"Giới thiệu map siêu lớn: Tạo map địa hình không giới hạn, thích hợp thiết bị cấu hình cao"
34,"Giới thiệu địa hình bằng phẳng: Tạo map địa hình bằng phẳng, thích hợp xây dựng kiến trúc"
35,Chọn vật phẩm cần chế tạo!
36,Xác nhận xóa bạn?
37,"Mạng không ổn định, hãy thử lại"
38,Người này đã là bạn của bạn
39,Số lượng bạn đã đạt giới hạn
40,Không thể tự kết bạn với mình
41,"Kết bạn không thành công, hãy thử lại sau"
42,Xóa bạn thành công
43,"Trong game không thể tải dữ liệu map, hãy về giao diện chính thử lại"
44,"Tạm không tìm được bạn bè xung quanh, hãy thử lại sau"
45,"Nhập tên nhân vật được dùng số, chữ cái"
46,Tên nhân vật đã tồn tại (Nhấp vào chữ để nhập)
47,Cấu hình cao
48,Cấu hình trung
49,Cấu hình thấp
50,Góc nhìn sau
51,Góc nhìn thẳng
52,Góc nhìn chính
53,Tầm nhìn (Xa)
54,Tầm nhìn (Vừa)
55,Tầm nhìn (Gần)
56,Rương trữ đã đầy!
57,Điểm Nhiệm vụ:
58,Không
59,-Mạo Hiểm
60,-Sáng Tạo
61,Thiếu @1
62,Đã chế tạo @1×@2
63,Xóa bạn
64,@1 trở thành bạn của bạn
65,Rời khỏi giao diện phụ ma
66,Thiếu số sao cần để phụ ma
67,Còn chưa có thuộc tính phụ ma
68,Ngẫu nhiên thêm thuộc tính phụ ma
69,Vật này đã bị phụ ma
70,"Sau khi dung hợp, vật phẩm phụ sẽ biến mất"
71,Hãy đặt vật phẩm phụ vào
72,Hãy chọn vật phẩm phụ ma
73,Sao
74,Xu Mini
75,Vật phẩm có thể Phụ Ma:
76,Vật phẩm chính có thể dùng
77,Vật phẩm phụ có thể dùng
78,Không có thuộc tính thích hợp
79,@1 Phụ Ma thành công!
80,Hãy đặt vật phẩm muốn Phụ Ma vào
81,Đã bỏ vào túi từ giao diện Phụ Ma
82,"Hãy cố gắng sinh tồn, thu thập đủ Nguyên liệu, khám phá thế giới!"
83,Bạn có các loại tài nguyên vô hạn để có thể tạo bất kỳ thứ gì bạn thích
84,Tạo dữ liệu mới\n Bắt đầu mạo hiểm nào
85,"Bạn chưa có dữ liệu, mau đi #cfa7a0ftạo#n 1 cái nào"
86,Ở đây có nhiều map có thể #cfa7a0ftải! #n
87,"Lần đầu vào game, kiến nghị vào Lớp Tân Thủ, để hiểu về cách chơi cơ bản của game"
88,Chọn nhân vật trong giao diệ\n Tạo nhân vật của bạn nào
89,Hãy chọn nhân vật
90,"Chưa hoàn thành Lớp Tân Thủ, có tiếp tục không?"
91,Nếu như là lần đầu bạn vào thế giới Mini chúng tôi kiến nghị bạn vào #c0aaa1amap Trường Học (đề cử)
92,map Lớp Tân Thủ
93,Đã đến: Thế Giới Ngầm
94,Đã đến: Bề Mặt Thế Giới
95,Bạn chiến đấu với @other không cẩn thận đã thất thủ
96,@self khi bơi cần chú ý tới lượng oxy tiêu hao nhé!
97,@self tránh xa các vật có nhiệt độ cao !
98,Nhảy từ trên trời xuống cần chú ý an toàn nhé!
99,Bạn cần 1 bộ đồ du hành vũ trụ
100,Cẩn thận Cây Xương Rồng!
101,Số may như vậy nên mua Vietlott thôi!
102,Trúng độc! Hãy uống sữa!
103,@self héo như một bông hoa.
104,Đã ở chế độ Chạy Nhanh
105,Đã ở chế độ Ẩn Thân
106,Mau vào Phòng Mạo Hiểm của ta nào! Ta và đồng đội đều đang đợi bạn
107,Phòng Mạo Hiểm này ngầu ghê! Không dừng lại được
108,Có ai tới Phòng Mạo Hiểm của ta không?
109,Là anh em thì đến Phòng Mạo Hiểm của ta nào!
110,"Ai đến giúp ta đào quặng, mau đến Phòng Mạo Hiểm nào!"
111,Mau vào Phòng Sáng Tạo của ta! Nơi này nhiều trò hay lắm
112,"Mau vào Phòng Sáng Tạo của ta, mình cùng mở party!"
113,Hoan nghênh mọi người vào Phòng Sáng Tạo của ta
114,Phòng Sáng Tạo của ta đã đợi lâu rồi!
115,"Phòng Sáng Tạo của ta rất rộng, mau vào xem!"
116,"Trăng tròn rồi, đây là 1 đêm đặc biệt..."
117,"Trăng ẩn rồi, đây là 1 đêm đặc biệt..."
118,"Đây có nhiều vật phẩm lắm, bạn cần gì? Có lẽ bạn có thể đến Sa Mạc hoặc Băng Nguyên tìm anh em của ta."
119,"Vốn là nơi ta lớn lên, ta muốn biến nơi này thành ốc đảo!"
120,"Băng Nguyên lãnh lẽo, ta cần lượng lớn vật phẩm, người có thể cung cấp được không?"
121,"Có từ cấm, hãy nhập lại"
122,"Đây là Rương Trữ Đồ dành cho Chủ Phòng, bạn không thể mở"
123,Nhập tên mới
124,Cần tốn
125,Trong dữ liệu không thể đổi tên
126,Chúc mừng đổi tên thành công thành
127,"Đổi tên thất bại, hãy kiểm tra kết nối mạng"
128,Vật phẩm sau khi mua sẽ được lưu tại KHO
129,Nhấp vật phẩm có thể để vào Túi và sử dụng trong map
130,Loại vật phẩm này chỉ Chủ Phòng mới được lấy và dùng
131,"Mua thành công, hãy vào Kho ở góc trái bên dưới để kiểm tra"
132,"Lấy thành công, hãy vào Túi kiểm tra"
133,Điểm Mạo Hiểm Cực Hạn :
134,"Hình như Chủ Phòng không thích bạn, đã mời bạn ra khỏi phòng!!"
135,Kết nối thất bại. Chủ phòng đã đóng chế độ chơi đội!
136,"Bà nội kêu Chủ Phòng đi ăn cơm rồi, đóng phòng rồi."
137,"Không vào được, tải map thất bại hoặc đã hư (đề nghị sao lưu trước)"
138,Cấp năng động:
139,Mở khóa Thành Tích:
140,Thông Tin
141,Avatar
142,Dùng
143,Mở Khóa
144,Nhập số Mini tác giả
145,UID
146,"Mạng không ổn định, hãy kiểm tra kết nối"
147,Chọn loại
148,Bình thường
149,Tốt
150,Mượt
151,Chủ Phòng bạn theo dõi tạm thời nghỉ phép rồi...
152,"Xin lỗi, vui lòng làm mới danh sách map và thử lại."
153,Tên
154,Số người
155,Loại
156,Mô tả
157,Cập nhật ngay
158,"Phiên bản game quá cũ, hãy cập nhật bản mới"
159,"Vì chưa chia sẻ dữ liệu map này, nên không thể tải khôi phục"
160,"Phải tải lại dữ liệu này, bắt đầu tải?"
161,"Mạng không ổn định, tạm dừng tải lên/tải về, hãy kiểm tra kết nối và thử lại"
162,"Không có theo dõi map, mau xem share của đồng đội nào"
163,"Vào game sẽ chuyển đổi số liệu dữ liệu, cần tốn vài phút, hãy đợi"
164,Phòng đã vào lần trước
165,"Gian lận thay đổi, hậu quả rất nghiêm trọng"
166,Tiêu Đề
167,Nhãn
168,Loại
169,Giới Thiệu
170,Công Khai
171,Riêng tư
172,"Giới thiệu map hấp dẫn, thu hút nhiều đồng đội tải\n (nhấp nhập, giới hạn 30 ký tự)"
173,Chia sẻ lại
174,Theo dõi
175,Nhập số Mini của tác giả
176,Tác phẩm đã chia sẻ
177,Quay lại
178,"Tên này lười lắm, chả viết mô tả gì~"
179,Nếu bạn thích map này hãy nghiêm túc đánh giá nào!
180,OK
181,Tên dữ liệu không được để trống
182,Năng lực Thú Cưỡi
183,Thời gian Ấp Trứng
184,Ảnh chụp lưu trữ
185,Nhận
186,Dùng
187,Tăng cấp
188,Bạn không dữ liệu chia sẻ
189,Người chơi này chưa chia sẻ tác phẩm nào
190,Xếp hạng mặc định
191,HOT
192,Đánh giá
193,Chủ đề hot
194,Mới nhất
195,Xếp Hạng
196,Mở
197,Chín Ngay
198,Thu Hoạch
199,Đồng đội đến Tưới Nước Diệt Sâu:
200,Cây ở trạng thái #c0aba1dTốt#n
201,Cây ở trạng thái #cffda0aThiếu Nước#n
202,Cây ở trạng thái #cff3d2bKhô Héo#n
203,Có thể nhận:
204,Thời gian chín còn:
205,(Chín Ngay)
206,Bắt đầu Trưởng Thành
207,Xem Vườn bạn bè
208,Bảng điểm
209,Bạn Bè
210,Fan
211,Avatar
212,Tên
213,Đánh Bại
214,Thêm bạn
215,Thú Cưỡi
216,(Xem trước)
217,Đợi Hồi Sinh
218,"Đổi số Mini, hãy chú ý: #r1. Hãy chia sẻ map lên Thư Viện Map để tránh bị mất#r2. Nếu bạn gặp báo lỗi (Sai mật khẩu), thử nhập mật khẩu khác và đăng nhập lại "
219,"Mạng không ổn định, phòng đã đóng"
220,Đóng phòng sẽ đuổi hết tất cả người chơi
221,Nếu bạn thoát game sẽ đuổi hết tất cả người chơi
222,Bắt đầu: 3
223,Bắt đầu: 2
224,Bắt đầu: 1
225,Bắt đầu!
226,Biết rồi
227,Mặc định
228,Thông báo
229,@self đánh @other 1 cú mạnh!
